iter	Passed	Remaining
0	6	1385
1	15	1523
2	21	1436
3	29	1454
4	35	1381
5	40	1324
6	48	1337
7	54	1301
8	61	1302
9	67	1275
10	72	1247
11	80	1258
12	85	1234
13	91	1220
14	98	1212
15	103	1192
16	110	1189
17	116	1178
18	122	1167
19	130	1172
20	137	1170
21	144	1170
22	150	1155
23	159	1171
24	164	1154
25	170	1140
26	178	1144
27	183	1130
28	191	1130
29	197	1117
30	202	1105
31	209	1099
32	215	1088
33	222	1084
34	228	1079
35	235	1073
36	242	1069
37	248	1057
38	255	1053
39	261	1044
40	266	1033
41	273	1030
42	279	1020
43	286	1015
44	293	1010
45	300	1006
46	306	998
47	312	988
48	319	983
49	324	974
50	330	965
51	339	965
52	346	960
53	371	1003
54	376	993
55	384	988
56	390	978
57	395	969
58	402	962
59	408	952
60	413	942
61	419	934
62	425	924
63	431	917
64	437	907
65	442	898
66	453	900
67	460	893
68	468	889
69	476	884
70	483	879
71	489	870
72	496	863
73	502	856
74	510	851
75	517	844
76	522	835
77	530	830
78	536	821
79	541	812
80	548	806
81	554	797
82	561	791
83	567	784
84	575	778
85	584	774
86	589	766
87	597	760
88	603	752
89	610	745
90	615	737
91	622	730
92	629	724
93	634	715
94	641	708
95	647	701
96	653	693
97	661	688
98	673	687
99	679	679
100	684	671
101	691	664
102	697	656
103	702	648
104	710	642
105	715	634
106	723	629
107	730	621
108	735	614
109	743	608
110	749	600
111	757	594
112	762	587
113	770	581
114	776	573
115	782	566
116	788	559
117	794	551
118	799	544
119	806	537
120	812	530
121	819	523
122	824	516
123	830	508
124	837	502
125	843	495
126	852	490
127	859	483
128	869	478
129	875	471
130	880	463
131	887	457
132	892	449
133	899	443
134	905	435
135	911	428
136	918	422
137	924	415
138	931	408
139	938	402
140	945	395
141	952	389
142	959	382
143	966	376
144	972	369
145	981	363
146	987	356
147	992	348
148	999	342
149	1005	335
150	1015	329
151	1021	322
152	1029	316
153	1034	308
154	1039	301
155	1047	295
156	1052	288
157	1059	281
158	1066	275
159	1072	268
160	1079	261
161	1084	254
162	1091	247
163	1097	240
164	1102	233
165	1110	227
166	1115	220
167	1121	213
168	1127	206
169	1133	199
170	1140	193
171	1146	186
172	1152	179
173	1162	173
174	1169	167
175	1175	160
176	1180	153
177	1187	146
178	1193	140
179	1198	133
180	1206	126
181	1212	119
182	1219	113
183	1224	106
184	1230	99
185	1237	93
186	1243	86
187	1248	79
188	1256	73
189	1262	66
190	1269	59
191	1275	53
192	1280	46
193	1288	39
194	1293	33
195	1303	26
196	1308	19
197	1315	13
198	1321	6
199	1326	0
